コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,企業名,業界
3191,2022/06,156431000000,115821000000,115055000000,109519000000,-,12212000000,1751.76,74.0,ジョイフル本田,小売業
3192,2022/02,6484050000,2136014000,2136014000,-247205000,2000000000,1312500000,320.92,32.9,白鳩,小売業
3193,2022/07,18466814000,6337291000,6328222000,3441405000,-,5209169000,546.85,34.3,鳥貴族HD,小売業
3195,2022/10,4638097000,1997597000,1976610000,819846000,830000000,85103000,242.58,42.5,ジェネレーションパス,小売業
3196,2022/12,22063966000,10681001000,9341755000,2827056000,207185000,3201857000,470.85,46.2,ホットランド,小売業
3197,2022/12,424772000000,157708000000,157708000000,56425000000,86971000000,20000000000,693.22,37.1,すかいらーくHD,小売業
3198,2022/02,16096817000,12438641000,12480430000,6035450000,205000000,363760000,482.34,77.3,SFPHD,小売業
3199,2022/03,69551000000,19345000000,18956000000,17299000000,7180000000,15132000000,974.21,27.8,綿半HD,小売業
3201,2022/11,163384000000,107734000000,101423000000,96439000000,16309000000,2850000000,1508.3,65.3,日本毛織,繊維製品
3202,2022/03,21113498000,4646942000,50466000,-54093000,607992000,10276630000,153.96,21.9,ダイトウボウ,繊維製品
3204,2022/12,32911000000,11746000000,10652000000,3161000000,5683000000,6565000000,1316.09,35.7,トーア紡コーポレーション,繊維製品
3205,2022/03,31798000000,7713000000,5589000000,-5220000000,6733000000,3984000000,209.87,21.6,ダイドーリミテッド,繊維製品
3211,2022/10,3404362000,1646355000,497520000,76176000,70000000,519519000,458.72,48.4,太陽毛絲紡績,繊維製品
3221,2022/03,11787895000,8247648000,8246636000,7547265000,-,192112000,799.05,70.0,ヨシックスHD,小売業
3222,2022/02,280741000000,152238000000,150985000000,40290000000,4000000000,22275000000,1180.54,54.0,ユナイテッド・スーパーマーケットHD,小売業
3223,2022/02,1294562000,481051000,478280000,13734000,-,117533000,306.44,36.9,エスエルディー,小売業
3224,2022/03,2293687000,898789000,879179000,-1820628000,-,522051000,219.03,38.3,ゼネラル・オイスター,小売業
3228,2022/08,153094427000,60572076000,57402586000,54828906000,27043300000,23188228000,2717.61,37.7,三栄建築設計,不動産業
3231,2022/03,2040506000000,621398000000,604115000000,382382000000,108500000000,754235000000,3478.14,30.3,野村不動産HD,不動産業
3232,2022/03,165153110000,48394810000,40890838000,28165160000,10665000000,50426896000,482.59,29.1,三重交通グループHD,不動産業
3236,2022/05,28714000000,7292000000,7201000000,4800000000,4064000000,8143000000,209.22,25.1,プロパスト,不動産業
3237,2022/03,1862683000,1182078000,1160731000,-873201000,-,311394000,31.23,62.0,イントランス,不動産業
3238,2022/03,29242362000,8350220000,7588913000,5259334000,4824588000,11674455000,871.72,28.6,セントラル総合開発,不動産業
3241,2022/12,13427000000,4086000000,4061000000,3572000000,2398000000,3770000000,357.01,30.3,ウィル,不動産業
3242,2022/06,38090634000,14393279000,12795315000,7909801000,278000000,13463324000,407.83,33.6,アーバネットコーポレーション,不動産業
3244,2022/11,413594000000,110395000000,100101000000,56911000000,30468000000,188769000000,2123.1,23.9,サムティ,不動産業
3245,2022/09,36457000000,21259000000,20866000000,12709000000,100000000,8802000000,484.53,57.2,ディア・ライフ,不動産業
3246,2023/01,15476000000,9392000000,9335804000,6344455000,2356000000,1502291000,919.17,60.3,コーセーアールイー,不動産業
3248,2022/10,13154883000,3908051000,3905151000,3672028000,-,7368553000,1228.63,29.7,アールエイジ,不動産業
3252,2022/12,72153000000,30960000000,30736000000,23030000000,-,35222000000,1690.12,42.8,地主,不動産業
3254,2022/09,251369000000,160768000000,160397000000,145409000000,1203000000,57175000000,2335.39,63.8,プレサンスコーポレーション,不動産業
3258,2022/03,426027000000,173515000000,168928000000,104887000000,-,145802000000,24787714285.71,40.7,ユニゾHD,不動産業
3260,2022/02,8759830000,862671000,862671000,22613000,-,4870485000,579.78,9.8,エスポア,不動産業
3261,2022/12,4395843000,1932689000,1932689000,1466100000,-,1401133000,552.19,44.0,グランディーズ,不動産業
3264,2022/09,52591000000,26055000000,25057000000,3659000000,3670000000,16752000000,192.87,47.6,アスコット,不動産業
3266,2022/11,4584000000,2662000000,2623000000,770000000,1130000000,492000000,70.67,58.1,ファンドクリエーショングループ,不動産業
3267,2022/11,4750048000,2443735000,2438868000,1936076000,-,439220000,474.3,51.3,フィル・カンパニー,建設業
3271,2022/06,40372982000,3596978000,3695133000,-1099814000,8988000000,21151713000,127.08,8.9,THEグローバル社,不動産業
3275,2022/03,10178237000,6789055000,6753411000,6108989000,-,-,877.51,66.4,ハウスコム,不動産業
3276,2022/12,17975648000,7603065000,7603065000,8451372000,47000000,2324388000,430.8,42.3,JPMC,不動産業
3277,2022/12,28976914000,11056333000,11052799000,9708791000,10192950000,5033220000,1356.38,38.1,サンセイランディック,不動産業
3280,2022/02,25538000000,6942000000,6941000000,5766000000,9079000000,6090000000,1166.96,27.2,エストラスト,不動産業
3284,2022/03,127905000000,38960000000,30749000000,15858000000,7166000000,41295000000,883.62,24.4,フージャースHD,不動産業
